dataset,horizon,method,seed,w2,n_tier0,n_tier1,n_tier2,n_tier3,n_total,f1_deploy,AR_available,IUS_deploy
OULAD,0,IC-FS(full),42,0.3000,14,1,0,0,15,56.5584,0.0667,3.7706
OULAD,0,IC-FS(full),42,0.5000,14,1,0,0,15,56.5584,0.0667,3.7706
OULAD,0,IC-FS(full),42,0.6000,14,1,0,0,15,56.5584,0.0667,3.7706
OULAD,0,IC-FS(full),42,0.7000,14,1,0,0,15,56.5584,0.0667,3.7706
OULAD,0,IC-FS(full),42,0.8000,14,1,0,0,15,56.5584,0.0667,3.7706
OULAD,0,IC-FS(full),42,0.9000,14,1,0,0,15,56.5584,0.0667,3.7706
OULAD,0,IC-FS(full),42,1.0000,14,1,0,0,15,56.5584,0.0667,3.7706
OULAD,0,IC-FS(full),123,0.3000,14,1,0,0,15,56.8963,0.0667,3.7931
OULAD,0,IC-FS(full),123,0.5000,14,1,0,0,15,56.8963,0.0667,3.7931
OULAD,0,IC-FS(full),123,0.6000,14,1,0,0,15,56.8963,0.0667,3.7931
OULAD,0,IC-FS(full),123,0.7000,14,1,0,0,15,56.8963,0.0667,3.7931
OULAD,0,IC-FS(full),123,0.8000,14,1,0,0,15,56.8963,0.0667,3.7931
OULAD,0,IC-FS(full),123,0.9000,14,1,0,0,15,56.8963,0.0667,3.7931
OULAD,0,IC-FS(full),123,1.0000,14,1,0,0,15,56.8963,0.0667,3.7931
OULAD,0,IC-FS(full),456,0.3000,14,1,0,0,15,55.8253,0.0667,3.7217
OULAD,0,IC-FS(full),456,0.5000,14,1,0,0,15,55.8253,0.0667,3.7217
OULAD,0,IC-FS(full),456,0.6000,14,1,0,0,15,55.8253,0.0667,3.7217
OULAD,0,IC-FS(full),456,0.7000,14,1,0,0,15,55.8253,0.0667,3.7217
OULAD,0,IC-FS(full),456,0.8000,14,1,0,0,15,55.8253,0.0667,3.7217
OULAD,0,IC-FS(full),456,0.9000,14,1,0,0,15,55.8253,0.0667,3.7217
OULAD,0,IC-FS(full),456,1.0000,14,1,0,0,15,55.8253,0.0667,3.7217
OULAD,0,IC-FS(full),789,0.3000,14,1,0,0,15,56.9204,0.0667,3.7947
OULAD,0,IC-FS(full),789,0.5000,14,1,0,0,15,56.9204,0.0667,3.7947
OULAD,0,IC-FS(full),789,0.6000,14,1,0,0,15,56.9204,0.0667,3.7947
OULAD,0,IC-FS(full),789,0.7000,14,1,0,0,15,56.9204,0.0667,3.7947
OULAD,0,IC-FS(full),789,0.8000,14,1,0,0,15,56.9204,0.0667,3.7947
OULAD,0,IC-FS(full),789,0.9000,14,1,0,0,15,56.9204,0.0667,3.7947
OULAD,0,IC-FS(full),789,1.0000,14,1,0,0,15,56.9204,0.0667,3.7947
OULAD,0,IC-FS(full),1011,0.3000,14,1,0,0,15,55.7167,0.0667,3.7144
OULAD,0,IC-FS(full),1011,0.5000,14,1,0,0,15,55.7167,0.0667,3.7144
OULAD,0,IC-FS(full),1011,0.6000,14,1,0,0,15,55.7167,0.0667,3.7144
OULAD,0,IC-FS(full),1011,0.7000,14,1,0,0,15,55.7167,0.0667,3.7144
OULAD,0,IC-FS(full),1011,0.8000,14,1,0,0,15,55.7167,0.0667,3.7144
